Brands,Letter_sizing,Bust
Michael Kors Size Charts,XXS,31
Nike Size Charts,XS,31
Nike Size Charts,S,34
Nike Size Charts,M,38
Nike Size Charts,L,41
Nike Size Charts,XL,44.5
Nike Size Charts,XXL,46.5
Old Navy Size Charts,XS,32
Old Navy Size Charts,S,34.5
Old Navy Size Charts,M,36.5
Old Navy Size Charts,L,39.5
Old Navy Size Charts,XL,43.75
Pacsun Size Charts,XS,33.5
Pacsun Size Charts,S,35.5
Pacsun Size Charts,M,37.5
Pacsun Size Charts,L,40.25
Pacsun Size Charts,XL,42.5
Puma Size Charts,XS,32
Puma Size Charts,S,34
Puma Size Charts,M,36
Puma Size Charts,L,38
Puma Size Charts,XL,40
Ralph Lauren Size Charts,XS,33.5
Ralph Lauren Size Charts,S,36
Ralph Lauren Size Charts,M,39
Ralph Lauren Size Charts,L,43.5
Ralph Lauren Size Charts,XL,47
Style & Co. Size Charts,XS,33
Style & Co. Size Charts,S,35
Style & Co. Size Charts,M,37.25
Style & Co. Size Charts,L,40.25
Style & Co. Size Charts,XL,43
FashionNova,XS,32.5
FashionNova,S,34.5
FashionNova,M,36.5
FashionNova,L,39.25
FashionNova,XL,41.5
